n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,13.376,5.256,5.06,16.807,5.258,5.155,50.92938199474399
3,3,12.63,5.247,5.062,17.034,5.255,5.247,50.46569166734116
3,3,13.099,5.445,6.616,21.894,5.355,6.437,58.854859335648754
3,3,11.826,5.106,5.376,16.189,5.13,5.279,48.90946499896624
3,3,12.33,5.109,4.903,15.866,5.091,4.978,48.28080399723452
3,3,11.837,5.12,4.946,16.07,5.117,4.927,48.01935566865723
3,3,12.151,5.147,6.974,16.43,5.191,5.018,50.91408766747918
3,3,12.249,5.149,5.023,16.996,5.144,4.934,49.49939800280845
3,3,12.568,5.185,5.012,16.507,5.177,4.989,49.43765467154056
3,3,12.329,5.183,4.948,16.765,5.209,5.541,49.97839533219424
3,3,12.494,5.239,5.229,16.725,5.231,4.963,49.88181500812061
3,3,11.869,5.113,4.986,16.196,5.097,5.33,48.59518432931509
3,3,12.83,5.135,5.1,16.903,5.152,4.943,50.06541200054926
3,3,12.135,5.143,4.929,16.296,5.159,4.96,48.62520500440345
3,3,13.167,5.204,5.261,16.596,5.231,5.03,50.490883667710776
3,3,12.328,5.212,5.488,19.646,5.225,5.262,53.16757833982895
3,3,12.399,5.166,4.926,16.624,5.21,5.026,49.357966662986044
3,3,12.738,5.15,4.957,16.703,5.215,4.954,49.724916004682505
3,3,14.378,5.212,5.111,16.774,5.221,4.95,51.63407100432475
3,3,12.14,5.132,4.965,16.13,5.154,5.043,48.55469633184839
3,3,12.216,5.168,4.963,16.55,5.153,4.958,49.01339100130524
3,3,12.995,5.111,4.852,15.918,5.094,4.913,48.881217000598554
3,3,12.188,5.069,5.077,25.94,9.022,5.837,63.1728463328424
3,3,12.232,5.164,4.937,16.409,5.208,5.045,48.99597766901327
3,3,12.356,5.158,5.038,16.614,5.206,4.961,49.31870566482151
3,3,12.367,5.208,4.943,18.333,5.701,5.034,51.59405966696795
3,3,13.557,5.263,4.952,16.916,5.34,4.975,51.00576300173998
3,3,11.83,5.115,5.263,17.601,5.136,5.123,50.06938133010408
3,3,12.026,5.072,4.982,16.177,5.185,4.955,48.39899132881935
3,3,12.02,5.144,4.964,16.113,5.149,4.955,48.33290067472262
