Timestamp,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-06-05T21:39:36,evaluator,382.17,476.9MiB,0.76,348MB,0B,5
2025-06-05T21:39:36,auditlog,0.56,255.3MiB,0.41,1.69GB,0B,5
2025-06-05T21:39:36,keyrotation,0.00,17.22MiB,0.03,15.8kB,0B,1
2025-06-05T21:39:36,message-store,397.97,501.5MiB,0.80,473MB,0B,5
2025-06-05T21:39:36,als_client_worker,189.96,49.43MiB,0.08,498MB,0B,34
2025-06-05T21:39:36,als_server_worker,179.03,49.13MiB,0.08,1.45MB,0B,34
2025-06-05T21:39:36,scheduler,0.36,17.8MiB,0.03,536kB,0B,1
2025-06-05T21:39:36,jodi-cache,12.43,18.11MiB,0.03,772MB,0B,6
2025-06-05T21:39:49,evaluator,391.38,486MiB,0.77,361MB,0B,5
2025-06-05T21:39:49,auditlog,17.46,270.9MiB,0.43,1.76GB,0B,5
2025-06-05T21:39:49,keyrotation,0.00,17.22MiB,0.03,16.1kB,0B,1
2025-06-05T21:39:49,message-store,389.22,513.1MiB,0.82,492MB,0B,5
2025-06-05T21:39:49,als_client_worker,43.81,28.51MiB,0.05,515MB,0B,34
2025-06-05T21:39:49,als_server_worker,147.69,19.39MiB,0.03,1.47MB,0B,2
2025-06-05T21:39:49,scheduler,0.00,17.8MiB,0.03,552kB,0B,1
2025-06-05T21:39:49,jodi-cache,13.78,18.83MiB,0.03,801MB,0B,6
2025-06-05T21:40:02,evaluator,398.16,495.4MiB,0.79,374MB,0B,5
2025-06-05T21:40:02,auditlog,19.38,253.3MiB,0.40,1.82GB,0B,5
2025-06-05T21:40:02,keyrotation,0.09,17.22MiB,0.03,16.8kB,0B,1
2025-06-05T21:40:02,message-store,388.18,522.8MiB,0.83,508MB,0B,5
2025-06-05T21:40:02,als_client_worker,10.41,19.4MiB,0.03,536MB,0B,2
2025-06-05T21:40:02,als_server_worker,0.00,19.38MiB,0.03,1.5MB,0B,2
2025-06-05T21:40:02,scheduler,0.00,17.8MiB,0.03,569kB,0B,1
2025-06-05T21:40:02,jodi-cache,13.02,18.05MiB,0.03,829MB,0B,6
2025-06-05T21:40:14,evaluator,384.60,505.4MiB,0.81,387MB,0B,5
2025-06-05T21:40:14,auditlog,0.56,249.7MiB,0.40,1.88GB,0B,5
2025-06-05T21:40:14,keyrotation,0.00,17.22MiB,0.03,17.2kB,0B,1
2025-06-05T21:40:14,message-store,397.65,533.6MiB,0.85,525MB,0B,5
2025-06-05T21:40:14,als_client_worker,206.21,67.32MiB,0.11,556MB,0B,34
2025-06-05T21:40:15,als_server_worker,199.36,19.43MiB,0.03,1.52MB,0B,2
2025-06-05T21:40:15,scheduler,0.38,17.8MiB,0.03,588kB,0B,1
2025-06-05T21:40:15,jodi-cache,13.36,18.91MiB,0.03,858MB,0B,6
2025-06-05T21:40:27,evaluator,397.59,515.4MiB,0.82,400MB,0B,5
2025-06-05T21:40:27,auditlog,23.37,250.1MiB,0.40,1.96GB,0B,5
2025-06-05T21:40:27,keyrotation,0.00,17.22MiB,0.03,17.5kB,0B,1
2025-06-05T21:40:27,message-store,383.48,543.7MiB,0.87,543MB,0B,5
2025-06-05T21:40:27,als_client_worker,53.66,19.42MiB,0.03,574MB,0B,2
2025-06-05T21:40:27,als_server_worker,20.05,19.39MiB,0.03,1.54MB,0B,2
2025-06-05T21:40:27,scheduler,0.00,17.8MiB,0.03,605kB,0B,1
2025-06-05T21:40:27,jodi-cache,13.27,18.65MiB,0.03,886MB,0B,6
2025-06-05T21:40:40,evaluator,386.20,524MiB,0.83,412MB,0B,5
2025-06-05T21:40:40,auditlog,0.54,256.7MiB,0.41,2.02GB,0B,5
2025-06-05T21:40:40,keyrotation,0.00,17.22MiB,0.03,17.9kB,0B,1
2025-06-05T21:40:40,message-store,391.75,555.1MiB,0.88,562MB,0B,5
2025-06-05T21:40:40,als_client_worker,110.72,30.55MiB,0.05,591MB,0B,34
2025-06-05T21:40:40,als_server_worker,111.37,28.96MiB,0.05,1.57MB,0B,34
2025-06-05T21:40:40,scheduler,0.35,17.8MiB,0.03,624kB,0B,1
2025-06-05T21:40:40,jodi-cache,13.49,20.32MiB,0.03,913MB,0B,6
2025-06-05T21:40:53,evaluator,389.29,534MiB,0.85,425MB,0B,5
2025-06-05T21:40:53,auditlog,0.57,247.9MiB,0.39,2.08GB,0B,5
2025-06-05T21:40:53,keyrotation,0.00,17.22MiB,0.03,18.6kB,0B,1
2025-06-05T21:40:53,message-store,397.47,564.8MiB,0.90,579MB,0B,5
2025-06-05T21:40:53,als_client_worker,227.61,74.03MiB,0.12,612MB,0B,34
2025-06-05T21:40:53,als_server_worker,206.69,19.39MiB,0.03,1.59MB,0B,2
2025-06-05T21:40:53,scheduler,0.38,17.8MiB,0.03,640kB,0B,1
2025-06-05T21:40:53,jodi-cache,13.24,18.63MiB,0.03,944MB,0B,6
2025-06-05T21:41:06,evaluator,398.41,544.4MiB,0.87,438MB,0B,5
2025-06-05T21:41:06,auditlog,21.32,253.2MiB,0.40,2.14GB,0B,5
2025-06-05T21:41:06,keyrotation,0.00,17.22MiB,0.03,18.9kB,0B,1
2025-06-05T21:41:06,message-store,397.56,576.3MiB,0.92,598MB,0B,5
2025-06-05T21:41:06,als_client_worker,30.27,19.4MiB,0.03,629MB,0B,2
2025-06-05T21:41:06,als_server_worker,0.00,19.39MiB,0.03,1.62MB,0B,2
2025-06-05T21:41:06,scheduler,0.00,17.8MiB,0.03,657kB,0B,1
2025-06-05T21:41:06,jodi-cache,12.90,18.63MiB,0.03,972MB,0B,6
2025-06-05T21:41:18,evaluator,387.20,553.4MiB,0.88,451MB,0B,5
2025-06-05T21:41:18,auditlog,0.62,252.4MiB,0.40,2.2GB,0B,5
2025-06-05T21:41:18,keyrotation,0.00,17.22MiB,0.03,19.3kB,0B,1
2025-06-05T21:41:18,message-store,380.97,586.9MiB,0.93,615MB,0B,5
2025-06-05T21:41:18,als_client_worker,189.96,53.66MiB,0.09,647MB,0B,34
2025-06-05T21:41:18,als_server_worker,188.18,53MiB,0.08,1.64MB,0B,34
2025-06-05T21:41:18,scheduler,0.41,17.8MiB,0.03,676kB,0B,1
2025-06-05T21:41:18,jodi-cache,13.51,18.41MiB,0.03,998MB,0B,6
2025-06-05T21:41:31,evaluator,393.36,563.1MiB,0.90,464MB,0B,5
2025-06-05T21:41:31,auditlog,19.38,254.1MiB,0.40,2.27GB,0B,5
2025-06-05T21:41:31,keyrotation,0.00,17.22MiB,0.03,19.7kB,0B,1
2025-06-05T21:41:31,message-store,393.97,597.7MiB,0.95,633MB,0B,5
2025-06-05T21:41:31,als_client_worker,115.59,19.41MiB,0.03,667MB,0B,2
2025-06-05T21:41:31,als_server_worker,62.74,19.39MiB,0.03,1.67MB,0B,2
2025-06-05T21:41:31,scheduler,0.00,17.8MiB,0.03,693kB,0B,1
2025-06-05T21:41:31,jodi-cache,12.81,22.61MiB,0.04,1.03GB,0B,6
2025-06-05T21:41:44,evaluator,396.99,573.2MiB,0.91,477MB,0B,5
2025-06-05T21:41:44,auditlog,8.67,247.1MiB,0.39,2.33GB,0B,5
2025-06-05T21:41:44,keyrotation,0.00,17.22MiB,0.03,20.4kB,0B,1
2025-06-05T21:41:44,message-store,384.91,607.6MiB,0.97,649MB,0B,5
2025-06-05T21:41:44,als_client_worker,2.37,19.39MiB,0.03,684MB,0B,2
2025-06-05T21:41:44,als_server_worker,0.00,19.39MiB,0.03,1.69MB,0B,2
2025-06-05T21:41:44,scheduler,0.00,17.8MiB,0.03,709kB,0B,1
2025-06-05T21:41:44,jodi-cache,12.95,22.9MiB,0.04,1.06GB,0B,6
2025-06-05T21:41:57,evaluator,377.67,583MiB,0.93,490MB,0B,5
2025-06-05T21:41:57,auditlog,0.56,254MiB,0.40,2.39GB,0B,5
2025-06-05T21:41:57,keyrotation,0.00,17.22MiB,0.03,20.7kB,0B,1
2025-06-05T21:41:57,message-store,381.98,619.4MiB,0.99,668MB,0B,5
2025-06-05T21:41:57,als_client_worker,218.35,67.51MiB,0.11,705MB,0B,34
2025-06-05T21:41:57,als_server_worker,208.04,19.39MiB,0.03,1.72MB,0B,2
2025-06-05T21:41:57,scheduler,0.43,17.81MiB,0.03,729kB,0B,1
2025-06-05T21:41:57,jodi-cache,12.76,22.62MiB,0.04,1.08GB,0B,6
2025-06-05T21:42:09,evaluator,396.36,592.8MiB,0.94,502MB,0B,5
2025-06-05T21:42:09,auditlog,18.62,256.4MiB,0.41,2.46GB,0B,5
2025-06-05T21:42:09,keyrotation,0.00,17.22MiB,0.03,21.1kB,0B,1
2025-06-05T21:42:09,message-store,396.08,630MiB,1.00,686MB,0B,5
2025-06-05T21:42:09,als_client_worker,49.06,19.4MiB,0.03,722MB,0B,2
2025-06-05T21:42:09,als_server_worker,14.93,19.44MiB,0.03,1.74MB,0B,2
2025-06-05T21:42:10,scheduler,0.00,17.81MiB,0.03,745kB,0B,1
2025-06-05T21:42:10,jodi-cache,13.92,17.76MiB,0.03,1.11GB,0B,6
2025-06-05T21:42:22,evaluator,378.57,602.6MiB,0.96,515MB,0B,5
